id,geometry,epsg
17476,"MULTIPOLYGON(((2.31796054427417 48.8387592339575,2.31787209627538 48.8387506352938,2.31777660104919 48.8387599837497,2.31771370845119 48.8387767130451,2.31764106731138 48.8388095753372,2.31758875566472 48.8388506478832,2.31755137114732 48.8388963024123,2.31752216080099 48.8389420035655,2.31752020965798 48.8389869608701,2.31753290315687 48.8390580834176,2.31758391988023 48.8391159340659,2.31761086130578 48.8391394713441,2.31816223128233 48.838860213699,2.31811645187266 48.83881858178,2.31804062983023 48.838782174782,2.31796054427417 48.8387592339575)))",4326
3682302,"MULTIPOLYGON(((2.31318527771712 48.8456723228007,2.31328562082716 48.8455029190581,2.3128335183316 48.8453771102303,2.31272794914768 48.8455293956833,2.31318527771712 48.8456723228007)))",4326
3682303,"MULTIPOLYGON(((2.31448975119869 48.8448119183167,2.31453143129609 48.8447510003654,2.3144988371759 48.8447427193251,2.3145350552897 48.844682669436,2.31409121485857 48.8445506170323,2.31406477069434 48.8445927355469,2.31402265094616 48.8445835003929,2.31397944213766 48.8446570005155,2.31448975119869 48.8448119183167)))",4326
3802522,"MULTIPOLYGON(((2.28615902383787 48.8513977553351,2.28626714470281 48.8513642245995,2.28633152380717 48.8513403258481,2.28639042745551 48.851318193129,2.28643149292367 48.8513049476167,2.2864864192414 48.8512746968725,2.28658388436495 48.8512231150655,2.28664591941327 48.8511713219456,2.28670806512733 48.8511114351933,2.28672454045807 48.8511025397908,2.28663633520361 48.8510750330654,2.28661258249562 48.8510182316326,2.28648257342048 48.8510579276922,2.28640040593297 48.8510871166095,2.28630033867779 48.8511296891307,2.28624261312244 48.8511653192667,2.28622335072266 48.8511786947865,2.28616561274111 48.8512152241723,2.28611881315726 48.8512491207079,2.28606351702141 48.8513063499372,2.28613803384668 48.8513382722194,2.28615902383787 48.8513977553351)))",4326
3802523,"MULTIPOLYGON(((2.28711382926314 48.8514358250493,2.28670806512733 48.8511114351933,2.28664591941327 48.8511713219456,2.28658388436495 48.8512231150655,2.2864864192414 48.8512746968725,2.28643149292367 48.8513049476167,2.28685866620385 48.8516582455325,2.28688831332923 48.8516827049957,2.28692332514554 48.8517134919537,2.28681089432074 48.8517631860906,2.28684440805658 48.8518038571161,2.28672217951585 48.8518723793589,2.28670981668045 48.8518795005501,2.28668015721634 48.8518559403351,2.28663894364198 48.8518799773826,2.28662245573928 48.851889772055,2.28665480367792 48.8519160463964,2.2865793499753 48.8519524703396,2.28681220604948 48.8521652084272,2.28687807167864 48.8521323246432,2.28717170980763 48.8519865791376,2.28719229806623 48.851975909457,2.28722382488899 48.8519626068525,2.28748864754864 48.8518310786777,2.28736729544813 48.8517359230178,2.28726441622633 48.851784775105,2.28718218932493 48.8517186318758,2.28728776929502 48.8516715946672,2.28714766001731 48.8515529436322,2.28704479325505 48.8516008962503,2.28701246992491 48.8515728234303,2.28695323723924 48.851519408111,2.28711382926314 48.8514358250493)))",4326
3802528,"MULTIPOLYGON(((2.31816223128233 48.838860213699,2.31761086130578 48.8391394713441,2.31763241210903 48.8391584810223,2.31767834447617 48.8391884221958,2.31760288378781 48.8392284633212,2.31765596952581 48.8392323636226,2.31773919244615 48.839223844635,2.31785524192477 48.8392056197376,2.31791961505985 48.8391799051284,2.3180168852496 48.8391390887785,2.31809377846075 48.8390936593462,2.3181695209183 48.8390320346691,2.31822219695179 48.8389630835259,2.31824461836082 48.8389155447761,2.31822957345108 48.8389199558718,2.31816223128233 48.838860213699)))",4326
3802529,"MULTIPOLYGON(((2.31724584298815 48.8387137857799,2.31719263999895 48.8387188783119,2.31716266792767 48.8387187072213,2.31714342984553 48.8387311885655,2.31704676795502 48.838829567303,2.31694734559915 48.8389306282995,2.3169252294281 48.8389547849668,2.3169656645744 48.8389882925064,2.31724584298815 48.8387137857799)))",4326
3802530,"MULTIPOLYGON(((2.31797490819726 48.8382862477389,2.31780514640837 48.8381404812259,2.31778291326317 48.8381736310911,2.31777048729594 48.8381861513918,2.31766968166951 48.8382890038809,2.31763102945575 48.8383274562699,2.31765075842571 48.8383815309666,2.31765538375201 48.8384445131928,2.31765385657042 48.8384570956491,2.31764647966028 48.8385002232856,2.31761573065187 48.8385594062348,2.31761293528401 48.8385647865024,2.31758124770904 48.8385915868009,2.31754958365115 48.8386165884867,2.31750702064361 48.8386415279794,2.31748229788351 48.8386566761919,2.31743295831189 48.8386788788849,2.31738374825298 48.8386911892379,2.31734138533864 48.8387008405403,2.31733183699503 48.8387016854169,2.31724584298815 48.8387137857799,2.3169656645744 48.8389882925064,2.31698722686445 48.8390064030019,2.31700734430474 48.8390308008246,2.31706886327826 48.8390149634277,2.31713026439293 48.8390081190138,2.31719837133406 48.8390094071648,2.31725002376361 48.8390186956794,2.31730962665933 48.8390451175518,2.31734743159754 48.8390714149974,2.31736889983023 48.8390967198342,2.31737667364178 48.8391273427301,2.31737620252452 48.8391633147858,2.31736886061892 48.8392037444738,2.31734537036865 48.8392287927396,2.31728635217739 48.8392617325515,2.31737946135232 48.8393306159274,2.31758247163272 48.8392265481368,2.31760288378781 48.8392284633212,2.31767834447617 48.8391884221958,2.31763241210903 48.8391584810223,2.31761086130578 48.8391394713441,2.31758391988023 48.8391159340659,2.31753290315687 48.8390580834176,2.31752020965798 48.8389869608701,2.31752216080099 48.8389420035655,2.31755137114732 48.8388963024123,2.31758875566472 48.8388506478832,2.31764106731138 48.8388095753372,2.31771370845119 48.8387767130451,2.31777660104919 48.8387599837497,2.31787209627538 48.8387506352938,2.31796054427417 48.8387592339575,2.31804062983023 48.838782174782,2.31811645187266 48.83881858178,2.31816223128233 48.838860213699,2.31822957345108 48.8389199558718,2.31824461836082 48.8389155447761,2.31824903483644 48.8388903876232,2.31852333165221 48.8387525484673,2.31842632305521 48.8386692538283,2.31835949656789 48.8386742692525,2.31831442087736 48.838683006071,2.31828038524918 48.8386810133651,2.31823686011357 48.838675369089,2.31817581245723 48.8386552350174,2.31812169432179 48.8386261467262,2.31808674346479 48.8385899727268,2.31806814100867 48.8385538919177,2.31806171747234 48.8385241761198,2.31805951045275 48.8384845912993,2.31807382824088 48.8384316101479,2.31811230372923 48.8384066471503,2.31804349410461 48.8383549908359,2.31797490819726 48.8382862477389),(2.31781763999808 48.8382268919341,2.31803731516089 48.8384107164961,2.31800673138571 48.8384573093225,2.31799783943438 48.8385121201388,2.31800127933374 48.838561605048,2.31800123226566 48.8385652022557,2.31800899460254 48.838596724427,2.31803718065197 48.8386292624062,2.3180789315633 48.8386663745537,2.31812897438226 48.8386945402634,2.31818727380501 48.8387164574312,2.31823617786004 48.8387275285953,2.31831513635375 48.8387324754359,2.318371016939 48.8387309951385,2.31840649729118 48.8387267004687,2.3184334859254 48.8387466403626,2.31830586830171 48.8388160639179,2.3182400040437 48.8388516632974,2.31819016099881 48.8388082095086,2.31813741682985 48.838778229692,2.31809006336504 48.8387527774262,2.31804126521469 48.8387336124865,2.31797735162238 48.8387242544022,2.31795423845256 48.8387205251414,2.31789975554018 48.8387193151073,2.31785749862437 48.8387208728763,2.3178152181655 48.8387242292338,2.3177770365737 48.8387267095848,2.31775379393254 48.8387328726046,2.31772511358775 48.8387381052359,2.31766350095728 48.838761137388,2.31765664202496 48.8387646957382,2.31759629750908 48.8387949300402,2.31753309865706 48.8388350410837,2.31751650293313 48.8388538331436,2.31749156810921 48.8388851687843,2.31747452485933 48.8389381342977,2.3174737123011 48.8390001861041,2.31747500401819 48.8390055896866,2.31747708107803 48.8390550668156,2.31750222434493 48.8391118704995,2.31753183161088 48.8391399198489,2.31758986047288 48.8391825212309,2.31751441150065 48.8392216629993,2.31745816529232 48.8392510212369,2.31741094128058 48.8392156763983,2.31742370911634 48.8391770764071,2.31744973563545 48.8391664324945,2.31745015959536 48.8391340576443,2.31743827505502 48.8391052100347,2.31742370110662 48.8390736489707,2.31739412926931 48.8390429016884,2.31736722332574 48.8390166664549,2.31732802070706 48.8389930591436,2.31726837074252 48.8389702344852,2.31722618428732 48.8389663962217,2.31720714640282 48.8389635894476,2.31719354623214 48.8389617130787,2.31714174070394 48.838964115459,2.31711209840044 48.8389387639132,2.3171411088116 48.8389083509865,2.31723506949221 48.8388081580241,2.31727790369557 48.8387625346932,2.31733109494238 48.8387583414252,2.31738844394994 48.8387487756467,2.31740345354932 48.8387470625612,2.31748689947881 48.8387214570126,2.31756093828309 48.8386859046787,2.31760764726652 48.8386564919747,2.31763381476866 48.8386350563952,2.31764344550764 48.8386279163817,2.31766424593456 48.8386001545958,2.31768642047491 48.8385715012747,2.31771425633571 48.8385266915974,2.31771989413331 48.8385123338494,2.31773260270983 48.8384782303107,2.31773885261641 48.8384171088575,2.31773412124745 48.8383622203515,2.317719523784 48.8383324579068,2.31781763999808 48.8382268919341)))",4326
3802531,"MULTIPOLYGON(((2.2833558012747 48.8491137037488,2.28259128043958 48.849511137617,2.2826236620092 48.8495347152358,2.28295652289827 48.849806519654,2.28300317476134 48.8497834157835,2.28302647593114 48.84977366242,2.28269773995374 48.8494991848282,2.28332644390562 48.8491674897379,2.28358797624886 48.8493741110093,2.28313508847631 48.8496052328848,2.28315660628778 48.8496260471727,2.2832185334866 48.8496812793683,2.28323229603427 48.8496714688188,2.2838578655475 48.8493694312211,2.284715280357 48.8489545574022,2.28463168618386 48.8488893033958,2.28469343647942 48.8488581948557,2.28451683381297 48.8487186367944,2.28448862619533 48.8486887890853,2.28451780923578 48.8486475928538,2.28448669120015 48.8486312182014,2.28421586775818 48.8484065558803,2.28443275390816 48.8482918352361,2.28437477906134 48.8482465202493,2.28445572877132 48.8482065330099,2.28435339305375 48.8481168838192,2.28425311985323 48.8481747426851,2.28402544593949 48.847983614454,2.28396221011123 48.8480237074273,2.28389623661579 48.848064683345,2.2838427118606 48.8480922432715,2.28386141760708 48.8481193361835,2.28370770544032 48.8481984594654,2.28369449962564 48.848167802001,2.28361353702911 48.8482086880173,2.28321414786222 48.8484149484903,2.2832790710218 48.8484504126522,2.2833146350866 48.8484407326858,2.28337093743908 48.8485085222772,2.28341140788477 48.8485384437073,2.283471041602 48.8485621843409,2.28344889346229 48.8485872338987,2.28350016606054 48.848624414906,2.28353036627025 48.8486084072032,2.28355708703764 48.848647239884,2.28359195885253 48.8486879200939,2.28362977849284 48.8487124293851,2.28368795099342 48.8487433560701,2.28363559025778 48.8487853126889,2.28357539985739 48.8488020402015,2.28352033844805 48.8488421818683,2.28345188562526 48.8488651553881,2.28341297538827 48.8488208534993,2.28337257892379 48.8487855363362,2.28328602645752 48.8487373515705,2.28331345208045 48.8487249247595,2.28326229083557 48.8486796500632,2.283232041025 48.8486992548583,2.28319730555235 48.8486486823508,2.28316903687647 48.8486233307802,2.28315290810104 48.8486070455846,2.28296623063512 48.848704857027,2.28316693578142 48.8488751401988,2.28344585874086 48.8491052495051,2.28338547004187 48.849136365556,2.2833558012747 48.8491137037488),(2.28398258114926 48.8489213950662,2.28435331901919 48.8487176588337,2.28439764342859 48.8487646908923,2.28442245469148 48.8487441539142,2.28452223936607 48.8488211966342,2.28449335257383 48.8488408098944,2.28453506308069 48.8488797319867,2.28416039746382 48.849071753524,2.28412282439355 48.8490292586072,2.28409531232202 48.8490479806307,2.28399547841956 48.8489745347307,2.2840256910357 48.8489576276178,2.28398258114926 48.8489213950662)))",4326
4433907,"MULTIPOLYGON(((2.26932810416956 48.8324642202481,2.269234856453 48.8324105871932,2.26916744068956 48.8324578423514,2.26926066320831 48.8325132740602,2.26932810416956 48.8324642202481)))",4326
