id,geometry,epsg
39,POINT(2.30323467792 48.8489529587863),4326
54,POINT(2.30097425249 48.8480454920863),4326
57,POINT(2.31412279759 48.8410181144863),4326
58,POINT(2.29418964225 48.8537092928863),4326
62,POINT(2.31144243453 48.8453452777863),4326
69,POINT(2.27601395445 48.8414390660863),4326
70,POINT(2.27032134338 48.8293456479863),4326
72,POINT(2.30658118865 48.8395049146863),4326
73,POINT(2.26846433193 48.8316389121863),4326
85,POINT(2.27981970989 48.8401768102863),4326
93,POINT(2.28818648565 48.8499908195863),4326
118,POINT(2.29951459371 48.8315561820863),4326
124,POINT(2.28399683585 48.8388564076863),4326
128,POINT(2.29980434877 48.8266749465863),4326
138,POINT(2.27225021767 48.8387118061863),4326
143,POINT(2.27693259663 48.8455973965863),4326
152,POINT(2.27676153834 48.8408217630863),4326
153,POINT(2.29325488935 48.8344645785863),4326
154,POINT(2.30816234366 48.8358508430863),4326
166,POINT(2.30188363845 48.8482292085863),4326
188,POINT(2.28025584076 48.8389619193863),4326
220,POINT(2.31444296157 48.8405294256863),4326
241,POINT(2.31582105818 48.8394878520863),4326
258,POINT(2.31853100975 48.8415739345863),4326
264,POINT(2.2990717829 48.8435114094863),4326
268,POINT(2.300513267 48.8312163426863),4326
274,POINT(2.29086538587 48.8466962409863),4326
286,POINT(2.31096669215 48.8473675993863),4326
288,POINT(2.26776354233 48.8302956624863),4326
293,POINT(2.28759185123 48.8516249110863),4326
301,POINT(2.30635433033 48.8362996991863),4326
327,POINT(2.27587590979 48.8412128930863),4326
328,POINT(2.27172138487 48.8295185975863),4326
366,POINT(2.29953047814 48.8315561671863),4326
415,POINT(2.29256399575 48.8276484644863),4326
423,POINT(2.29475228159 48.8284253222863),4326
431,POINT(2.28397008071 48.8389602598863),4326
440,POINT(2.30852489589 48.8336988692863),4326
445,POINT(2.2986324666 48.8263442304862),4326
446,POINT(2.29733863825 48.8491742914863),4326
448,POINT(2.27379478299 48.8380325248863),4326
461,POINT(2.27553429959 48.8412801032863),4326
462,POINT(2.27211050887 48.8407577306863),4326
466,POINT(2.30129707103 48.8277856331863),4326
467,POINT(2.28154987231 48.8440562042863),4326
507,POINT(2.27851346933 48.8408657809863),4326
508,POINT(2.27866653235 48.8411141389863),4326
517,POINT(2.31266670058 48.8432717000863),4326
543,POINT(2.27271532462 48.8305371415863),4326
559,POINT(2.27971880998 48.8358992779863),4326
571,POINT(2.28123702915 48.8487453302863),4326
601,POINT(2.29301487077 48.8366511570863),4326
641,POINT(2.3035485976 48.8329769473863),4326
642,POINT(2.31800823309 48.8459792819863),4326
645,POINT(2.29635360461 48.8373289510863),4326
666,POINT(2.28995533212 48.8559615159863),4326
671,POINT(2.29812378084 48.8312042504863),4326
676,POINT(2.30804064766 48.8468725923863),4326
677,POINT(2.28778945063 48.8489473179863),4326
699,POINT(2.29137140454 48.8520034932863),4326
714,POINT(2.28867191167 48.8327060130863),4326
716,POINT(2.30575393211 48.8479790966863),4326
736,POINT(2.29971564778 48.8323019439863),4326
